路名,商圈
文化三路一段,三井Outlet
南勢一街,三井Outlet
忠孝一路,三井Outlet
忠孝三路,三井Outlet
南勢街,南勢
南勢二街,南勢
南勢三街,南勢
南勢四街,南勢
南勢六街,南勢
文化三路二段,家樂福商圈
八德路,家樂福商圈
過崙街,家樂福商圈
民享路,家樂福商圈
信義路,家樂福商圈
中北一街,家樂福商圈
中北二街,家樂福商圈
中北三街,家樂福商圈
四維路,家樂福商圈
育林街,家樂福商圈
文化北路一段,家樂福商圈
文化二路一段,家樂福商圈
民富街,家樂福商圈
民有街,家樂福商圈
文林三街,家樂福商圈
文林四街,家樂福商圈
興林路,北側
松柏路,北側
竹林路,北側
忠孝路,林口舊市區
忠福路,林口舊市區
仁愛路一段,林口舊市區
仁愛路二段,林口舊市區
仁愛二路,林口舊市區
民族路,林口舊市區
民生路,林口舊市區
民權路,林口舊市區
中正路,林口舊市區
中山路,林口舊市區
公園路,林口舊市區
林口路,林口舊市區
源泉街,林口舊市區
三民路,林口舊市區
中華一路,林口舊市區
自強一街,林口舊市區
文化二路二段,麗園國小
文化一路一段,麗園國小
麗園一街,麗園國小
麗園二街,麗園國小
文林街,麗園國小
文林五街,麗園國小
文林六街,麗園國小
佳林路,麗園國小
自強二街,麗園國小
自強五街,麗園國小
粉寮路一段,麗園國小
隆林街,麗園國小
